filename,result_top1,result_top2,result_top3,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
slice1.txt,0,0,0,0.00025,0.0,0.0,3e-05,0.0,0.0,0.00209,1e-05,0.0,0.00162
slice10.txt,0,0,0,0.06741,0.00705,2e-05,1e-05,0.0002,0.00012,0.00234,0.05904,0.0,0.00016
slice11.txt,0,0,0,0.06741,0.00705,2e-05,1e-05,0.0002,0.00012,0.00234,0.05904,0.0,0.00016
slice12.txt,0,0,0,0.06741,0.00705,2e-05,1e-05,0.0002,0.00012,0.00234,0.05904,0.0,0.00016
slice13.txt,0,0,0,0.06741,0.00705,2e-05,1e-05,0.0002,0.00012,0.00234,0.05904,0.0,0.00016
slice14.txt,0,0,0,0.06741,0.00705,2e-05,1e-05,0.0002,0.00012,0.00234,0.05904,0.0,0.00016
slice15.txt,0,0,0,0.06741,0.00705,2e-05,1e-05,0.0002,0.00012,0.00234,0.05904,0.0,0.00016
slice16.txt,0,0,0,0.06741,0.00705,2e-05,1e-05,0.0002,0.00012,0.00234,0.05904,0.0,0.00016
slice17.txt,0,0,0,0.06741,0.00705,2e-05,1e-05,0.0002,0.00012,0.00234,0.05904,0.0,0.00016
slice18.txt,0,0,0,0.06741,0.00705,2e-05,1e-05,0.0002,0.00012,0.00234,0.05904,0.0,0.00016
slice19.txt,0,0,0,0.06741,0.00705,2e-05,1e-05,0.0002,0.00012,0.00234,0.05904,0.0,0.00016
slice2.txt,0,0,0,0.00025,0.0,0.0,3e-05,0.0,0.0,0.00209,1e-05,0.0,0.00162
slice20.txt,0,0,0,0.06741,0.00705,2e-05,1e-05,0.0002,0.00012,0.00234,0.05904,0.0,0.00016
slice21.txt,0,0,0,0.12788,4e-05,0.0,0.00015,0.0,7e-05,0.04618,0.12165,1e-05,0.02272
slice22.txt,0,0,0,0.12788,4e-05,0.0,0.00015,0.0,7e-05,0.04618,0.12165,1e-05,0.02272
slice23.txt,0,0,0,0.12788,4e-05,0.0,0.00015,0.0,7e-05,0.04618,0.12165,1e-05,0.02272
slice24.txt,0,0,0,0.12788,4e-05,0.0,0.00015,0.0,7e-05,0.04618,0.12165,1e-05,0.02272
slice25.txt,0,0,0,0.12788,4e-05,0.0,0.00015,0.0,7e-05,0.04618,0.12165,1e-05,0.02272
slice26.txt,0,0,0,0.12788,4e-05,0.0,0.00015,0.0,7e-05,0.04618,0.12165,1e-05,0.02272
slice27.txt,0,0,0,0.12788,4e-05,0.0,0.00015,0.0,7e-05,0.04618,0.12165,1e-05,0.02272
slice28.txt,0,0,0,0.12788,4e-05,0.0,0.00015,0.0,7e-05,0.04618,0.12165,1e-05,0.02272
slice29.txt,8,1,2,0.18019,0.14748,0.00155,5e-05,0.00014,0.00773,0.00441,0.78274,0.0,0.0
slice3.txt,0,0,0,0.00025,0.0,0.0,3e-05,0.0,0.0,0.00209,1e-05,0.0,0.00162
slice30.txt,8,1,2,0.18019,0.14748,0.00155,5e-05,0.00014,0.00773,0.00441,0.78274,0.0,0.0
slice31.txt,0,0,0,0.12495,1e-05,0.0,0.0,0.0,0.00018,0.10064,0.00026,1e-05,0.00375
slice32.txt,0,0,0,0.12495,1e-05,0.0,0.0,0.0,0.00018,0.10064,0.00026,1e-05,0.00375
slice33.txt,0,0,0,0.12495,1e-05,0.0,0.0,0.0,0.00018,0.10064,0.00026,1e-05,0.00375
slice34.txt,0,0,0,0.12495,1e-05,0.0,0.0,0.0,0.00018,0.10064,0.00026,1e-05,0.00375
slice35.txt,0,0,0,0.12495,1e-05,0.0,0.0,0.0,0.00018,0.10064,0.00026,1e-05,0.00375
slice36.txt,0,0,0,0.12495,1e-05,0.0,0.0,0.0,0.00018,0.10064,0.00026,1e-05,0.00375
slice37.txt,8,1,2,0.24166,0.00536,0.0,0.0,3e-05,0.00268,0.00033,0.7984,0.0,0.0017
slice38.txt,8,1,2,0.24166,0.00536,0.0,0.0,3e-05,0.00268,0.00033,0.7984,0.0,0.0017
slice39.txt,0,0,0,0.00025,0.0,0.0,3e-05,0.0,0.0,0.00209,1e-05,0.0,0.00162
slice4.txt,0,0,0,0.00025,0.0,0.0,3e-05,0.0,0.0,0.00209,1e-05,0.0,0.00162
slice40.txt,0,0,0,0.00025,0.0,0.0,3e-05,0.0,0.0,0.00209,1e-05,0.0,0.00162
slice41.txt,0,0,0,0.00025,0.0,0.0,3e-05,0.0,0.0,0.00209,1e-05,0.0,0.00162
slice42.txt,0,0,0,0.00025,0.0,0.0,3e-05,0.0,0.0,0.00209,1e-05,0.0,0.00162
slice43.txt,0,0,0,0.00025,0.0,0.0,3e-05,0.0,0.0,0.00209,1e-05,0.0,0.00162
